id,type,duration,source,raw_output,raw_is_hallucination,raw_char_count,vad_has_speech,vad_output,vad_is_hallucination,vad_char_count,boh_output,boh_is_hallucination,boh_char_count,combined_output,combined_is_hallucination,combined_char_count
silence_1s_0,silence,1.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_1s_1,silence,1.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_1s_2,silence,1.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_5s_0,silence,5.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_5s_1,silence,5.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_5s_2,silence,5.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_10s_0,silence,10.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_10s_1,silence,10.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_10s_2,silence,10.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_20s_0,silence,20.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_20s_1,silence,20.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_20s_2,silence,20.0,synthetic,Thank you.,True,10,False,,False,0,,False,0,,False,0
silence_30s_0,silence,30.0,synthetic,you,True,3,False,,False,0,,False,0,,False,0
silence_30s_1,silence,30.0,synthetic,you,True,3,False,,False,0,,False,0,,False,0
silence_30s_2,silence,30.0,synthetic,you,True,3,False,,False,0,,False,0,,False,0
white_noise_1s_0,white_noise,1.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_1s_1,white_noise,1.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_1s_2,white_noise,1.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_5s_0,white_noise,5.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_5s_1,white_noise,5.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_5s_2,white_noise,5.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_10s_0,white_noise,10.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_10s_1,white_noise,10.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_10s_2,white_noise,10.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_20s_0,white_noise,20.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_20s_1,white_noise,20.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_20s_2,white_noise,20.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_30s_0,white_noise,30.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_30s_1,white_noise,30.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
white_noise_30s_2,white_noise,30.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
pink_noise_1s_0,pink_noise,1.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
pink_noise_1s_1,pink_noise,1.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
pink_noise_1s_2,pink_noise,1.0,synthetic,Thank you.,True,10,True,Thank you.,True,10,,False,0,,False,0
